county,cnty_fips,c_tot_pop_c,c_tot_death_c,c_tot_lfex_c,c_tot_low_c,c_tot_up_c,c_tot_pop_h,c_tot_death_h,c_tot_lfex_h,c_tot_low_h,c_tot_up_h,c_tot_pop_b,c_tot_death_b,c_tot_lfex_b,c_tot_low_b,c_tot_up_b,c_tot_pop_w,c_tot_death_w,c_tot_lfex_w,c_tot_low_w,c_tot_up_w,c_fem_pop_c,c_fem_death_c,c_fem_lfex_c,c_fem_low_c,c_fem_up_c,c_fem_pop_h,c_fem_death_h,c_fem_lfex_h,c_fem_low_h,c_fem_up_h,c_fem_pop_b,c_fem_death_b,c_fem_lfex_b,c_fem_low_b,c_fem_up_b,c_fem_pop_w,c_fem_death_w,c_fem_lfex_w,c_fem_low_w,c_fem_up_w,c_mal_pop_c,c_mal_death_c,c_mal_lfex_c,c_mal_low_c,c_mal_up_c,c_mal_pop_h,c_mal_death_h,c_mal_lfex_h,c_mal_low_h,c_mal_up_h,c_mal_pop_b,c_mal_death_b,c_mal_lfex_b,c_mal_low_b,c_mal_up_b,c_mal_pop_w,c_mal_death_w,c_mal_lfex_w,c_mal_low_w,c_mal_up_w
Coleman,48083,7463,1303,73.84,72.79000000000001,74.90000000000001,,,,,,,,,,,6223.25,1211,73.60000000000001,72.38,74.87000000000001,3894.25,637,77.12000000000001,75.67,78.66,,,,,,,,,,,3255.3999,593,76.86,75.13,78.62000000000001,3568.75,666,70.73,69.29000000000001,72.21000000000001,,,,,,,,,,,2967.8501,618,70.68000000000001,69.03,72.36
Collin,48085,644124,28756,82.46000000000001,82.34,82.59,105882.7,1479,93.44,92.73,94.15000000000001,59103.602,1637,86.52,85.79000000000001,87.26000000000001,479137.69,25640,81.95,81.82000000000001,82.09,325042.41,14708,83.81,83.66,83.97,52287.699,669,94.55,93.65000000000001,95.44,31191.6,868,85.36,84.51000000000001,86.19,241563.09,13171,83.47,83.3,83.64,319081.59,14048,81.17,80.99,81.36,53595,810,92.47,91.32000000000001,93.60000000000001,27912,769,91.24,89.67,92.87000000000001,237574.59,12469,80.53,80.33,80.73
Collingsworth,48087,2663,414,73.90000000000001,71.93000000000001,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,48089,19165.85,2514,76.62000000000001,75.93000000000001,77.31,,,,,,,,,,,11540,1896,77.35000000000001,76.38,78.3,9809.4004,1253,79.54000000000001,78.57000000000001,80.51000000000001,,,,,,,,,,,5985.75,967,79.89,78.47,81.17,9356.450199999999,1261,73.71000000000001,72.75,74.67,,,,,,,,,,,5554.25,929,74.89,73.55,76.15000000000001
Comal,48091,102014.35,8898,80.73,80.44,81.03,25351.801,1024,81.58,80.87000000000001,82.27,,,,,,75379.20299999999,7804,80.35000000000001,80,80.7,52059.102,4384,83.09,82.69,83.48,12877.35,491,83.95,83.02,84.93000000000001,,,,,,38569.051,3857,82.71000000000001,82.25,83.18000000000001,49955.25,4514,78.36,77.93000000000001,78.79000000000001,12474.45,533,79,78.01000000000001,80.04000000000001,,,,,,36810.148,3947,78.05,77.56,78.56
Comanche,48093,12568.25,1723,76.32000000000001,75.45,77.17,,,,,,,,,,,9292.200199999999,1592,76.25,75.21000000000001,77.24,6480.4502,858,79.12000000000001,77.91,80.29000000000001,,,,,,,,,,,4871.1499,803,78.79000000000001,77.34,80.17,6087.7998,865,73.59,72.44,74.76000000000001,,,,,,,,,,,4421.0498,789,73.78,72.37000000000001,75.16
Cooke,48097,35415.102,3877,76.12000000000001,75.62000000000001,76.63,,,,,,,,,,,29067.801,3665,75.88,75.31,76.43000000000001,17819.051,1960,79.08,78.41,79.73,,,,,,,,,,,14833.7,1863,79.02,78.29000000000001,79.75,17596.051,1917,73.24,72.52,73.96000000000001,,,,,,,,,,,14234.1,1802,72.89,72.06,73.7
Coryell,48099,69672.398,3814,78.85000000000001,78.45,79.25,,,,,,,,,,,45820,3299,77.61,77.14,78.07000000000001,35519.949,1839,81.35000000000001,80.81,81.88,,,,,,,,,,,23240.4,1599,80.33,79.7,80.93000000000001,34152.449,1975,76.22,75.64,76.79000000000001,,,,,,,,,,,22579.6,1700,74.83,74.17,75.46000000000001
Crosby,48107,5468.7998,718,73.8,72.64,74.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallam,48111,5983,488,73.66,72.36,75.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,48113,2227631.5,138481,78.31,78.24,78.37000000000001,914011.5,17024,85.32000000000001,85.13,85.5,521878.66,35555,74.75,74.59,74.90000000000001,791741.5,85902,77.97,77.87000000000001,78.08,1124552.3,69008,80.86,80.77,80.95,439276,7093,87.92,87.67,88.16,279915.44,17489,77.84,77.63,78.03,405360.69,44426,80.61,80.47,80.74,1103079.5,69473,75.57000000000001,75.47,75.67,474735.5,9931,82.5,82.23,82.76000000000001,241963.2,18066,71.32000000000001,71.08,71.54000000000001,386380.81,41476,75.28,75.13,75.43000000000001
Dawson,48115,12831.05,1302,76.09,75.3,76.84,7138.3999,420,75.26000000000001,74.08,76.42,,,,,,4799.8999,813,76.8,75.62000000000001,77.96000000000001,5530.8501,641,78.22,77.09,79.38,,,,,,,,,,,2202.3999,428,78.33,76.37000000000001,80.19,7300.2002,661,74.03,72.99,75.05,,,,,,,,,,,,,,,
